# Name of the FOGGEI halo
# Name of the snapshot
# Redshift of snapshot
# Cosmological time of the snapshot (Gyr)
# Log of stellar mass (in Msun)
# Log of total metallicity (in Zsun)
# Log of the median of the metallicity distribution (in Zsun)
# Log of inter-quartile range of the distribution (75th - 25th percentile) (in Zsun)
# Fitted gradient of the radial profile, with uncertainty (in dex/kpc)
halo	output	redshift	time	log_mass	log_Ztotal	log_Z50	log_ZIQR	Zgrad
Squall	DD1310	0.72114869997831	7.252860781339018	10.577434208916728	0.060427801574323224	0.0346717342222303	0.20510946876637265	-0.099+/-0.007
Squall	DD1311	0.7201813064540699	7.25824017990188	10.578232335151558	0.0606520797989864	0.028359811362593943	0.19466323641926742	-0.104+/-0.006
Squall	DD1312	0.7192151727736801	7.263619578464741	10.579154046430252	0.06143263632760796	0.02740952496644201	0.1846603457342117	-0.108+/-0.006
Squall	DD1313	0.7182502963652	7.268998977027604	10.579984909889186	0.06243676461913528	0.02990388498620877	0.1848645305996224	-0.101+/-0.006
Squall	DD1314	0.71728667466389	7.274378375590468	10.580555981092692	0.062383459169113385	0.031373778251774384	0.19018861549178678	-0.097+/-0.006
Squall	DD1315	0.71632430511208	7.27975777415333	10.581494114585858	0.06255511959451414	0.0340561632189855	0.190630782294829	-0.091+/-0.008
Squall	DD1316	0.7153631851592399	7.285137172716192	10.58224957216286	0.06466452658766754	0.0374053627966652	0.19008522740791456	-0.095+/-0.006
Squall	DD1317	0.71440122817361	7.2905165712790545	10.582686897850921	0.06582644077131439	0.04083931507485279	0.18395165641022862	-0.094+/-0.005
Squall	DD1318	0.7134384276588699	7.295895969841918	10.583168938697273	0.06566118759740452	0.047173285575856885	0.18320318783243583	-0.0878+/-0.0035
Squall	DD1319	0.7124768768803	7.301275368404781	10.583752553533788	0.0657681863038614	0.05438267783039614	0.18524101210437208	-0.0828+/-0.0027
Squall	DD1320	0.7115165732967299	7.306654766967642	10.584050987558825	0.06632620469941981	0.05550623577478976	0.18810091880462398	-0.0816+/-0.0030
Squall	DD1321	0.7105575143740199	7.3120341655305054	10.584264707278406	0.06603935840762322	0.05694322600444832	0.192178098141713	-0.0828+/-0.0028
Squall	DD1322	0.70959969758505	7.317413564093367	10.584517742415711	0.06589688422333903	0.0592218053541831	0.1953990549995987	-0.0818+/-0.0025
Squall	DD1323	0.70864312040968	7.322792962656228	10.584763940106791	0.06604796653589644	0.05921281000014542	0.19613338214922943	-0.0828+/-0.0030
Squall	DD1324	0.70768778033472	7.328172361219092	10.58496416002603	0.06589284415319951	0.058285583136348185	0.19961891651127572	-0.079+/-0.005
Squall	DD1325	0.70673367485393	7.3335517597819555	10.585291670009317	0.06589547248288992	0.05526404324950774	0.20519679834771035	-0.082+/-0.004
Squall	DD1326	0.7057808014679601	7.338931158344817	10.585760546045064	0.06539708170745319	0.05726496732215216	0.20430200505727233	-0.084+/-0.004
Squall	DD1327	0.7048291576843799	7.344310556907679	10.586235600564041	0.06564592835701752	0.06396999718120695	0.1978873522591027	-0.088+/-0.006
Squall	DD1328	0.7038787410175699	7.349689955470541	10.587179440925269	0.06555343859992112	0.06706094333845275	0.1948875970011931	-0.089+/-0.007
Squall	DD1329	0.70292954898881	7.355069354033406	10.5877041265275	0.06655967024173541	0.06318568098844139	0.19644516802280199	-0.089+/-0.007
Squall	DD1330	0.70198157912616	7.360448752596268	10.588401763859466	0.06669534618690558	0.062204265440549626	0.19859541671580655	-0.085+/-0.008
Squall	DD1331	0.70103482896447	7.365828151159129	10.589649279566567	0.06678491905223179	0.06220277974458278	0.19859552118567714	-0.086+/-0.007
Squall	DD1332	0.70008929604537	7.371207549721991	10.59184865065669	0.07043927164583852	0.06510841395592458	0.19936469626569217	-0.081+/-0.010
Squall	DD1333	0.6991449868367999	7.376586897440929	10.595971297838869	0.0752200739741328	0.06810823780856258	0.19423897039851643	-0.078+/-0.010
Squall	DD1334	0.69820187213426	7.381966346852881	10.646994675806106	0.09141076808961747	0.08189824570118613	0.19523891541597058	-0.072+/-0.012
Squall	DD1335	0.6972599762609001	7.387345745410579	10.725006456126515	0.1014864904006423	0.09564168917620837	0.1883785575850709	-0.078+/-0.014
Squall	DD1336	0.6963192878629499	7.3927251439734425	10.729305041844269	0.10244746773262736	0.10216479908668846	0.18869066636736215	-0.066+/-0.018
Squall	DD1337	0.6953798045164201	7.398104542536304	10.731317935406407	0.10485297299310004	0.10886016783335394	0.18568446035770356	-0.048+/-0.021
Squall	DD1338	0.69444152380305	7.403483941099168	10.733501109052888	0.1072253707500877	0.1186254684625064	0.16431470244400487	-0.049+/-0.020
Squall	DD1339	0.69350444331118	7.4088633396620285	10.73726420612855	0.1204282778485031	0.12029144398851492	0.1589889504681126	-0.055+/-0.019
Squall	DD1340	0.69256856063575	7.4142427382248925	10.739313086465712	0.12531202607969474	0.1163792683816774	0.16332812465745278	-0.075+/-0.009
Squall	DD1341	0.69163387337825	7.419622136787754	10.739877087785878	0.10445444615995599	0.1025183884899005	0.19414379482239735	-0.078+/-0.007
Squall	DD1342	0.69069756903504	7.425001535350616	10.776022137531687	0.07344092463153484	0.07701690166852294	0.23258259090691524	-0.056+/-0.015
Squall	DD1343	0.68976110314225	7.4303809339134785	10.799660674764064	0.05283338346176645	0.05196717590449911	0.2688602227549793	-0.043+/-0.017
Squall	DD1344	0.68882583311986	7.435760332476343	10.800601516330335	0.043783803372272966	0.04027575435216214	0.2883354239865422	-0.035+/-0.018
Squall	DD1345	0.6878917565772299	7.441139731039205	10.801928532714408	0.0369843302516232	0.041715809784521454	0.32478339861110705	-0.067+/-0.015
